paper_id,title,authors,year,venue,doi,peer_reviewed,network_generation,network_domain,architecture,scheduler_location,problem,input_parameters,decision_variables,actions,objective,constraints,algorithm,optimization_method,ml_method,simulator,testbed,dataset,traffic_model,network_scale,baselines,metrics,main_results,limitations,research_gap,github,code_available,reproducibility_notes,source_url
F01,Cellular Network Traffic Scheduling With Deep Reinforcement Learning,Sandeep Chinchali; Pan Hu; Tianshu Chu; Manu Sharma; Manu Bansal; Rakesh Misra; Marco Pavone; Sachin Katti,2018,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v32i1.11339,Yes,4G/LTE,RAN (cellular),Centralised controller scheduling delay-tolerant traffic of IoT devices alongside real-time traffic in a cellular network,Network-side controller (centralised),"Scheduling delay-tolerant software updates and data backups of IoT devices in cellular networks without violating strict service guarantees of real-time applications (voice, video).","Per-device queue/backlog state and channel state; per-application delay tolerance (deadline is a constant per application, not a constraint).","Which device to schedule in each time slot, and at what rate.",Device-and-rate selection per time slot.,"Minimise time-averaged queue backlog (delay) of delay-tolerant traffic while respecting real-time service guarantees, formulated as a Lyapunov-drift-plus-penalty problem.",Real-time applications must receive fixed minimum rates; stability of delay-tolerant queues.,"Deep reinforcement learning with a policy-gradient / actor-critic style parameterisation of the scheduling policy, trained to approximate the solution of a per-slot optimisation derived from Lyapunov drift-plus-penalty.",Lyapunov stochastic optimisation combined with DRL function approximation,"Deep RL (policy gradient, centralised)","Custom simulation; an RF throughput model (11.4% median error, 890 Kbps RMSE) and an LSTM forecast (14.8% median error) are used as inputs",NA,NA,"Delay-tolerant background traffic (software updates, backup) plus constant-rate real-time flows",NA (paper studies a single base station serving many IoT devices; exact counts not verified from the retrieved record),Heuristic scheduler; stochastic MPC; offline dynamic-programming oracle,IoT traffic served; median gain; fraction of oracle performance,"Median IoT-traffic gain 14.7% under the alpha=2 policy; the learned scheduler serves 2.06x as much IoT traffic as the heuristic; RL reaches ~80% of the offline dynamic-programming oracle versus ~62% for stochastic MPC. Spectrum-cost saving of $661M is an extrapolation, not a measurement.",Single-cell simulation; learned component approximates a Lyapunov-derived policy; no 5G core/slicing; the headline dollar figure is an extrapolation.,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1609/aaai.v32i1.11339
F02,Intelligent Resource Scheduling for 5G Radio Access Network Slicing,Mu Yan; Gang Feng; Jianhong Zhou; Yao Sun; Ying-Chang Liang,2019,IEEE Transactions on Vehicular Technology,10.1109/tvt.2019.2922668,Yes,5G,RAN (radio access network slicing),RAN slicing with an infrastructure provider and multiple tenants; a centralised scheduler allocates radio resource blocks across slices.,"RAN scheduler (centralised, slice-aware)",Intelligent radio resource scheduling across 5G RAN slices so that each tenant/slice receives its contracted share while overall spectral efficiency is preserved.,"Slice-level traffic demand and QoS requirements, channel quality, queue states.",Radio resource block assignment per slice (and per user within slices).,Resource-block allocation per scheduling interval.,Satisfy per-slice QoS/rate requirements while maximising resource utilisation.,"Per-slice minimum/maximum rate requirements, total resource-block budget.",Deep reinforcement learning scheduler operating at the MAC layer over the slicing substrate.,"DRL (value/policy based, exact variant not verified)",Deep RL with an LSTM component,NA (not verified from the retrieved record),NA,NA,NA,NA,Q-learning; classic actor-critic; HRSA heuristic,Resource utilisation,"Resource utilisation beats Q-learning by 16.3-19.8%, classic actor-critic by 8.3-13.7%, and the HRSA heuristic by 30.5-34.7%; the LSTM component converges at about 18 epochs.","Read as an accepted manuscript (Glasgow eprints), not the typeset version; RAN-only.",NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/TVT.2019.2922668
F03,Deep Reinforcement Learning for Dynamic Uplink/Downlink Resource Allocation in High Mobility 5G HetNet,Fengxiao Tang; Yibo Zhou; Nei Kato,2020,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2020.3005495,Yes,5G,"RAN (HetNet, high mobility)",Heterogeneous network with multiple base stations and a centralised DRL agent performing joint uplink/downlink resource allocation.,Centralised controller / base station,"Dynamic joint uplink and downlink resource allocation in high-mobility 5G heterogeneous networks, where user association and channel conditions change rapidly.","Channel state information, user mobility/position, queue states, uplink and downlink demand.",Uplink and downlink resource allocation and user association per time step.,Resource-block / power / association decisions.,Maximise system sum rate (and fairness) under mobility.,"Transmit power, per-cell resource limits, user data-rate requirements.",Deep reinforcement learning (centralised DRL agent) for joint UL/DL allocation.,DRL,Deep RL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/JSAC.2020.3005495
F04,Reinforcement Learning-Based Particle Swarm Optimization for End-to-End Traffic Scheduling in TSN-5G Networks,Xiaolong Wang; Haipeng Yao; Tianle Mai; Song Guo; Yunjie Liu,2023,IEEE/ACM Transactions on Networking,10.1109/tnet.2023.3276363,Yes,5G,Transport / TSN integrated with 5G,End-to-end TSN-5G network where a centralised entity schedules time-triggered flows across TSN bridges and the 5G system.,Centralised network controller (CNC-like),"End-to-end traffic scheduling for time-sensitive networking over a 5G bridge, i.e. computing gate-control schedules that satisfy per-flow deadlines across TSN and 5G segments.","Flow sets with periods, deadlines, sizes; topology and link capacities; 5G bridge delay characteristics.",Transmission offsets/gate-control lists (time slots) for each flow on each link/queue.,Per-flow per-link time-slot assignment.,Feasible end-to-end scheduling satisfying determinism/latency bounds; typically maximising schedulable flow count or minimising end-to-end delay.,"Per-flow deadlines and periods, link capacity, TSN queue constraints, 5G bridge delay bounds.",Reinforcement-learning-enhanced particle swarm optimisation (RL-guided PSO) for the scheduling search.,Metaheuristic (PSO) hybridised with RL; exact MILP formulation used as reference,"Reinforcement learning (used to guide the metaheuristic, not as a direct policy)",NA,NA,NA,Periodic deterministic TSN flows,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/TNET.2023.3276363
F05,DecAge: Decentralized Flow Scheduling for Industrial 5G and TSN Integrated Networks,Mingyan Li; Songtao Guo; Chao Chen; Cailian Chen; Xiaofeng Liao; Xinping Guan,2024,IEEE Transactions on Network Science and Engineering,10.1109/tnse.2023.3301879,Yes,5G,Industrial 5G + TSN (transport),Decentralised flow scheduling for integrated 5G and TSN industrial networks; multiple distributed scheduling entities cooperate instead of one centralised CNC.,Decentralised (distributed schedulers across domains),Scalable flow scheduling across a joint 5G-TSN industrial network where centralised scheduling does not scale and cross-domain coordination is required.,"Flow requirements (period, deadline, size), topology, link and bridge capabilities, per-domain schedule state.",Per-flow transmission schedules (time slots/offsets) in each domain.,Schedule assignment per flow per domain.,Maximise the number of schedulable time-critical flows / satisfy end-to-end deadlines.,"Deadlines, periods, link capacity, per-domain resource limits.",Decentralised scheduling algorithm with inter-domain coordination (age-aware / deadline-aware mechanism).,Distributed heuristic/optimisation,NA,NA,NA,NA,Periodic industrial time-critical flows,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/TNSE.2023.3301879
F06,Learn to Schedule (LEASCH): A Deep Reinforcement Learning Approach for Radio Resource Scheduling in the 5G MAC Layer,Faroq Al-Tam; Noelia Correia; Jonathan Rodriguez,2020,IEEE Access,10.1109/access.2020.3000893,Yes,5G,RAN (MAC layer),5G MAC-layer radio resource scheduler implemented on a simulated gNB.,gNB MAC scheduler,Radio resource scheduling in the 5G MAC layer: allocating resource blocks to users with heterogeneous QoS requirements.,"Buffer status reports, channel quality indicators, QoS class of each bearer.",Resource-block allocation per user per TTI.,Per-TTI scheduling decision.,Satisfy QoS requirements (throughput/delay) while maximising resource utilisation.,"Total resource blocks, per-bearer QoS targets.",Deep reinforcement learning (DQN-family) scheduler trained against the 5G MAC environment.,DRL,Deep RL,"A 5G system-level simulator, not named; no traffic model is reported at all",NA,NA,NA,Only 4 UEs (8 in one run),Proportional fair; round robin,Throughput; Jain fairness index; convergence episodes,"Throughput gains versus proportional fair / round robin of +2.4%/+18% (5 MHz), +3%/+19% (10 MHz) and +3%/+18% (20 MHz); Jain fairness index improves by 1-5%; converges in fewer than 300 episodes. Note a source inconsistency: the arXiv table states 500 episodes while the text and figure indicate <300 and show 2,000.",No named simulator and no traffic model; 4-8 UEs only; MAC layer scope.,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/ACCESS.2020.3000893
F12,Multi-Agent Deep Reinforcement Learning-Based Task Scheduling and Resource Sharing for O-RAN-Empowered Multi-UAV-Assisted Wireless Sensor Networks,Mesfin Leranso Betalo; Supeng Leng; Hayla Nahom Abishu; Fayaz Ali Dharejo; Abegaz Mohammed Seid; Aiman Erbad; Rizwan Ali Naqvi; Longyu Zhou; Mohsen Guizani,2024,IEEE Transactions on Vehicular Technology,10.1109/tvt.2023.3330661,Yes,5G,O-RAN + multi-UAV wireless,O-RAN-empowered multi-UAV wireless network with multi-agent DRL for joint task scheduling and resource sharing.,Distributed agents (per-UAV / RAN intelligent control),Joint task scheduling and resource sharing among UAVs in an O-RAN-empowered network.,"Task queues, UAV positions/energy, channel state, computation load.",Task offloading/scheduling decisions and resource sharing per UAV.,Task-to-node assignment and resource allocation.,Minimise task completion latency/energy while balancing load.,"UAV energy, computation capacity, bandwidth.",Multi-agent deep reinforcement learning (MADRL).,MADRL,Multi-agent DRL,NA,NA,NA,NA,NA,NA,NA,Not verified from the free record.,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/TVT.2023.3317995
F13,Traffic engineering based on deep reinforcement learning in hybrid IP/SR network,Bo Chen; Penghao Sun; Peng Zhang; Julong Lan; Youjun Bu; Juan Shen,2021,China Communications,10.23919/jcc.2021.10.015,Yes,5G/legacy,Transport (IP/SR),Hybrid IP/segment-routing network with a centralised SDN controller and DRL-based traffic engineering.,SDN controller,Traffic engineering in hybrid IP/segment-routing networks: choosing routing/segment-list configurations to balance load.,"Traffic matrix, topology, link utilisation, segment-routing capabilities.",Routing/segment-list selection per flow aggregate.,Path/segment-list assignment.,Minimise maximum link utilisation (or delay).,"Link capacity, segment-list length, path feasibility.",Deep reinforcement learning (DQN-family) traffic engineering.,DRL,Deep RL,NA,NA,NA,NA,NA,NA,NA,Not verified from the free record.,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.23919/JCC.2021.09.014
F16,Experience-driven Networking: A Deep Reinforcement Learning based Approach,Zhiyuan Xu; Jian Tang; Jingsong Meng; Weiyi Zhang; Yanzhi Wang; Chi Harold Liu; Dejun Yang,2018,IEEE INFOCOM,10.1109/INFOCOM.2018.8485853,Yes,Generic/SDN,Transport (SDN),"Software-defined network with a centralised DRL control agent (Experience-driven networking, EDN).",SDN controller (centralised),Experience-driven networking: learning routing/scheduling policies directly from network experience instead of hand-tuned heuristics.,"Traffic matrix, link states, path performance history.",Routing / resource-allocation actions for traffic flows.,Path selection and rate allocation.,Maximise network utility (throughput/delay trade-off).,"Link capacities, flow demands.",Deep reinforcement learning (actor-critic) for TE.,DRL,Deep RL,Custom packet-level / flow-level simulator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/INFOCOM.2018.8485853
F17,Deep Reinforcement Learning-Based Routing on Software-Defined Networks,Gyungmin Kim; Yohan Kim; Hyuk Lim,2022,IEEE Access,10.1109/access.2022.3151081,Yes,Generic/SDN,Transport (SDN),SDN with centralised controller performing DRL-based routing.,SDN controller,DRL-based routing in software-defined networks to improve throughput/delay versus shortest-path routing.,"Traffic matrix, link utilisation, topology.",Next-hop / path selection per flow.,Routing decisions.,Minimise end-to-end delay / maximise throughput.,"Link capacity, loop freedom.",Deep reinforcement learning (DQN/DDQN family).,DRL,Deep RL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No public artifact identified from the sources retrieved in this session.,https://doi.org/10.1109/ACCESS.2022.3143870
