paper_id,title,authors,year,venue,doi,peer_reviewed,network_generation,domain,orchestrator_type,architecture,control_plane,managed_resources,input,output,interfaces,centralized_or_distributed,single_or_multidomain,closed_loop,sla_support,network_slicing,cloud_native,kubernetes,oran,optimization,ml,agent,llm,evaluation_platform,network_scale,baselines,metrics,main_results,limitations,research_gap,github,source_url
O02,On Multi-Domain Network Slicing Orchestration Architecture and Federated Resource Control,Tarik Taleb; Ibrahim Afolabi; Konstantinos Samdanis; Faqir Zarrar Yousaf,2020,Computer Networks,10.1016/j.comnet.2019.106984,Yes,5G,Multi-domain (RAN/core/transport across operators),"D - orchestration architecture (multi-domain slicing), survey-adjacent",Multi-domain network slicing orchestration: each domain runs a local orchestrator; a federation/broker layer exchanges slice requests and resource offers across administrative domains.,3GPP slice management combined with ETSI NFV MANO per domain,"Radio, transport and cloud resources contributed by each domain",Inter-domain slice requests with QoS/KPI requirements; per-domain resource availability,Federated slice instantiation and per-domain resource commitments,Inter-domain slice/resource brokering interfaces (conceptual; not a named standard API),Hierarchical (central broker over per-domain orchestrators),Multi-domain,No (architectural),Yes (inter-domain SLA/KPI mapping),Yes,NR,NR,No,NR,NR,No,No,NR (architectural paper),NR,NR,NR,NR,Architecture paper: multi-domain federation described but not experimentally evaluated; no optimisation engine or learning component.,Multi-domain federation has no standard cross-domain information exchange; the decision engine that would drive it (learning-based or LLM-based) is absent.,NA,https://doi.org/10.1109/MNET.2019.1800204
O03,"5G network slicing using SDN and NFV: A survey of taxonomy, architectures and future challenges",Alcardo Alex Barakabitze; Arslan Ahmad; Rashid Mijumbi; Andrew Hines,2020,Computer Networks,10.1016/j.comnet.2019.106984,Yes,5G,"End-to-end (RAN, transport, core)",G - survey/tutorial (not a primary experimental paper),"Survey of 5G network slicing using SDN and NFV: taxonomy, architectures and open challenges.","ETSI NFV MANO, SDN controllers, 3GPP management (surveyed)",Surveyed,N/A,N/A,Surveyed,Both surveyed,Both surveyed,Surveyed,Surveyed,Yes,Surveyed,Surveyed,No,Surveyed,Surveyed,No,No,N/A (survey),N/A,N/A,N/A,N/A (survey),Survey - describes the landscape rather than contributing a new orchestrator; predates cloud-native and LLM-era orchestration.,Provides the taxonomy against which newer AI-native orchestrators should be positioned.,NA,https://doi.org/10.1016/j.comnet.2018.12.005
O04,Intent-Based Management of Next-Generation Networks: an LLM-Centric Approach,Abdelkader Mekrache; Adlen Ksentini; Christos Verikoukis,2024,IEEE Network,10.1109/MNET.2024.3420120,Yes,5G/6G,End-to-end management and orchestration,F - LLM-based orchestrator (intent-centric management),LLM-centric intent-based management framework: natural-language intents are translated by an LLM into management actions/policies for the network.,Management plane (intent-driven management); mapped onto standard management functions,Network services and slices,Natural-language operator intents,Machine-readable intents / management actions,NR (framework-level),Centralised LLM-based intent engine,NR,No (intent translation focus; assurance loop not demonstrated),Intent-level objectives,Yes (intents for slices),NR,NR,No,LLM prompting,LLM,No,Yes (specific model NR),NR,NR,NR,NR,NR (magazine article describing the framework),Magazine-level contribution: framework and architecture rather than a measured closed-loop deployment; no network-level KPI evaluation reported.,Intent translation is demonstrated but intent assurance (does the network actually satisfy the intent?) and closed-loop correction remain open.,NA,https://doi.org/10.1109/MNET.2024.3420120
O05,AI-Driven Zero Touch Network and Service Management in 5G and Beyond: Challenges and Research Directions,Chafika Benzaid; Tarik Taleb,2020,IEEE Network,10.1109/mnet.001.1900252,Yes,5G and beyond,End-to-end (network and service management),D - orchestration architecture / research agenda,AI-driven zero-touch network and service management (ZSM) architecture: closed-loop automation with AI/ML at multiple time scales.,ETSI ZSM reference architecture (management plane); intent-driven,"Network services, slices, VNFs, infrastructure","Telemetry, KPIs, intents",Management actions / policy changes,ETSI ZSM service interfaces (conceptual),Hierarchical and distributed control loops,Both,Yes (conceptually - closed-loop automation is the core proposal),Yes,Yes,Yes (discussed),Discussed,No,ML/DRL proposed,Yes,No,No,NR (agenda paper),NR,NR,NR,NR,Research-directions article: proposes the ZSM AI architecture and lists challenges without experimental validation; predates LLM-based agents.,"Defines the closed-loop ZSM target that later LLM/agent work must satisfy; the hard problems it lists (conflict resolution, assurance, multi-domain) are still open.",NA,https://doi.org/10.1109/MNET.001.1900252
O06,Toward Zero-Touch Management and Orchestration of Massive Deployment of Network Slices in 6G,Hatim Chergui; Adlen Ksentini; Luis Blanco; Christos Verikoukis,2022,IEEE Wireless Communications,10.1109/MWC.009.00366,Yes,6G,Multi-domain / massive slice deployment,D - orchestration architecture,"Zero-touch management and orchestration architecture for massive deployments of network slices in 6G, with AI-driven closed loops.","ETSI ZSM / 3GPP management, cloud-native",Network slices at scale across domains,"Slice descriptors, telemetry, KPIs",Slice lifecycle actions,Conceptual,Hierarchical,Multi-domain,Yes (conceptual),Yes,Yes,Yes,Discussed,No,AI/ML,Yes,No,No,NR,NR,NR,NR,NR,Magazine-level architecture proposal without implementation or measurement.,Scale and lifecycle automation of very large slice counts remains unvalidated; concrete decision engines are not specified.,NA,https://doi.org/10.1109/MWC.009.00366
O08,A Cloud-Native Approach to 5G Network Slicing,Sameerkumar Sharma; Raymond Miller; Andrea Francini,2017,IEEE Communications Magazine,NA,Yes,5G,Core / cloud-native,D - orchestration architecture (cloud-native),Cloud-native approach to 5G network slicing: service-based architecture with containerised network functions and slice-specific orchestration.,Cloud-native management and orchestration (container orchestration over NFV),Containerised 5G network functions and slices,Slice requirements,Containerised slice deployments,NR,Centralised orchestration over distributed infrastructure,Single domain (per operator),No,Yes,Yes,Yes,Discussed (container orchestration),No,NR,No,No,No,NR,NR,NR,NR,NR,Magazine-level architecture; no experimental evaluation; predates modern Kubernetes-based 5G cores.,The cloud-native substrate for slice orchestration is described but joint optimisation of container placement and network resources is not solved.,NA,https://doi.org/10.1109/MCOM.2017.1600924
O09,Orchestrating Virtualized Network Functions,Faizul Bari; Shihabur Rahman Chowdhury; Reaz Ahmed; Raouf Boutaba; Otto Carlos Muniz Bandeira Duarte,2016,IEEE Transactions on Network and Service Management,10.1109/TNSM.2016.2569020,Yes,Generic/NFV,Core / cloud (NFV),A - true orchestrator implementation (VNF orchestration with placement and chaining),"VNF orchestrator that places and chains virtual network functions over a distributed cloud, minimising end-to-end service latency.",ETSI NFV MANO-style orchestrator,"VNF instances, compute nodes, network links",Service requests (VNF chains) with latency budgets; node and link capacities; measured node/link delays,VNF placement and chaining decisions,NR,Centralised orchestrator,Single domain (distributed cloud),Partly (placement based on measured delays; no continuous re-optimisation loop reported),Latency budgets,No (services rather than slices),No (VM-era),No,No,Exact/heuristic optimisation of placement + chaining,No,No,No,Simulation of a distributed cloud (exact platform NR),NR,NR,"End-to-end latency, orchestration cost",The orchestrator reduces service latency versus latency-agnostic placement (exact figures not verified from the free record).,"Static, one-shot placement optimisation; no learning, no closed-loop re-optimisation, no slice abstraction.","Placement/ chaining optimisation is solved offline; online, learning-based and SLA-assured orchestration is not addressed - the gap later filled (partly) by DRL-based placement work.",NA,https://doi.org/10.1109/TNSM.2016.2569020
O10,A Survey on the Placement of Virtual Resources and Virtual Network Functions,Abdelquoddouss Laghrissi; Tarik Taleb,2019,IEEE Communications Surveys & Tutorials,NA,Yes,Generic/NFV,Core / cloud (NFV),G - survey/tutorial,Survey of virtual resource and VNF placement problems and solutions.,NFV MANO (surveyed),Surveyed,N/A,N/A,Surveyed,Both surveyed,Both surveyed,Surveyed,Surveyed,Surveyed,Surveyed,No,No,"Surveyed (MILP, heuristics, metaheuristics)",Surveyed,No,No,N/A (survey),N/A,N/A,N/A,N/A (survey),Survey - consolidates placement formulations; does not itself provide an orchestration engine.,"The survey's own open-issues list (online, multi-objective, multi-domain placement) remains relevant and is only partly addressed by later DRL work.",NA,https://doi.org/10.1109/COMST.2018.2884835
O16,Open RAN xApps Design and Evaluation: Lessons Learnt and Identified Challenges,Marcin Hoffmann; Salim Janji; Adam Samorzewski; Łukasz Kułacz; Cezary Adamczyk; Marcin Dryjański; Pawel Kryszkiewicz; Adrian Kliks; Hanna Bogucka,2024,IEEE Journal on Selected Areas in Communications,NA,Yes,5G,O-RAN,D - orchestration/architecture study with primary experimental evidence on xApp design,"Open RAN xApp design and evaluation: how xApps are built, controlled and evaluated on programmable O-RAN platforms.",O-RAN near-RT RIC (non-RT RIC/SMO for rApps),Radio resources controlled through xApps,"E2 telemetry (KPMs), xApp policies",E2 control actions,"E2, A1, O1",Hierarchical (SMO/non-RT above near-RT RIC),Single domain (RAN),Yes (xApp control loops),Partly (KPI targets),Yes (slice-aware xApps),Yes,Yes (xApps as containers),Yes,xApp-specific,Yes (ML-based xApps),No,No,Open RAN programmable experimental platforms (e.g. Colosseum/OpenRAN Gym class platforms),NR,NR,KPI-level (per-xApp),NR,Studies xApp design practice and challenges rather than proposing a single orchestrator; cross-xApp conflict resolution across many xApps remains open.,xApp conflict mitigation and multi-xApp coordination in the RIC - the gap that later distillation/agent work targets.,NA,https://doi.org/10.1109/JSAC.2023.3336186
O22,"Explainable AI in 6G O-RAN: A Tutorial and Survey on Architecture, Use Cases, Challenges, and Future Research",Bouziane Brik; Hatim Chergui; Lanfranco Zanzi; Francesco Devoti; Adlen Ksentini; Muhammad Shuaib Siddiqui; Xavier Costa-Pérez; Christos Verikoukis,2025,IEEE Communications Surveys & Tutorials,NA,Yes,6G,O-RAN,G - survey/tutorial,"Tutorial and survey on explainable AI in 6G O-RAN: architecture, use cases, challenges.",O-RAN SMO / RIC (surveyed),Surveyed,N/A,N/A,Surveyed (A1/E2/O1),Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Surveyed,Yes,Surveyed,Surveyed,No,No,N/A (survey),N/A,N/A,N/A,N/A (survey),Survey - provides the XAI vocabulary for O-RAN but no new orchestration mechanism.,Explainability and trust requirements for AI-native O-RAN control are defined but rarely implemented in closed-loop orchestrators - highly relevant to LLM-agent adoption.,NA,https://doi.org/10.1109/COMST.2024.3492168
