paper_id,title,authors,year,venue,doi,peer_reviewed,protocol,network_generation,architecture,number_of_paths,path_type,scheduler_location,input_parameters,path_metrics,decision_type,packet_or_flow,reordering_handling,congestion_control,objective,algorithm,ml_method,simulator,testbed,traffic_model,baselines,metrics,main_results,limitations,research_gap,source_url
M01,TCP Extensions for Multipath Operation with Multiple Addresses (RFC 8684),A. Ford; C. Raiciu; M. Handley; O. Bonaventure,2020,IETF RFC (Internet Standard track),10.17487/RFC8684,No,MPTCP (RFC 8684),4G/5G and fixed,IETF standard for multipath TCP: an MPTCP connection is composed of multiple TCP subflows across different addresses/interfaces.,One or more subflows per MPTCP connection (standard does not fix a number),"Any IP path (Wi-Fi, cellular, wired)",Sender-side MPTCP path manager/scheduler,"Subflow state (RTT, congestion window, send buffer, available space)","RTT, congestion window, subflow availability",Packet-to-subflow assignment (default scheduler specified only loosely),Packet-level,Receive-side data-level sequence space with a reassembly buffer and DSS mapping,Coupled congestion control required by the standard (MPTCP semantics),Provide multipath transport with resource pooling and resilience while remaining fair to single-path TCP,Standard specification (not an algorithm paper); default scheduler is a simple policy and is explicitly left replaceable,No,N/A (standard),N/A (standard),N/A,N/A,N/A,N/A - normative specification. Its importance here is that it fixes the interfaces that every later scheduler (including learning-based ones) must work with.,"Normative text: does not prescribe an optimal scheduler, delivery-mode semantics, or reordering policy, which is exactly why the scheduler is a research problem.",The RFC exposes a pluggable scheduler point that learning-based and orchestrator-driven schedulers can occupy - but the standard provides no mechanism to signal network-level (orchestrator/slice) objectives into the scheduler.,https://doi.org/10.17487/RFC8684
M02,MultiPath TCP: From Theory to Practice,Sébastien Barré; Christoph Paasch; Olivier Bonaventure,2011,Lecture Notes in Computer Science,10.1007/978-3-642-20757-0_35,Yes,"MPTCP (v0, prototype)",3G/4G,First full MPTCP implementation and experimental evaluation across multiple access networks.,Two (typically 3G + Wi-Fi),Heterogeneous wireless (3G/4G + Wi-Fi),"Sender-side, kernel implementation",Subflow RTT and congestion state,"RTT, congestion window",Packet-to-subflow assignment,Packet-level,Receive buffer reassembly,Coupled congestion control (later formalised as LIA),Demonstrate that MPTCP delivers resource pooling and resilience in practice,Default MPTCP scheduler (lowest-RTT-first family) with coupled congestion control,No,NA,Real multi-homed testbed with 3G and Wi-Fi interfaces (exact hardware NR in the record retrieved),Bulk transfer and interactive traffic,Single-path TCP,"Throughput, completion time","Shows measurable throughput aggregation and improved resilience versus single-path TCP, establishing MPTCP as deployable (exact numbers not verified from the free record).","Early prototype; the scheduler used is a simple heuristic whose behaviour on very heterogeneous paths later proved problematic (bufferbloat, head-of-line blocking).","Motivated the entire subsequent scheduler literature: simple heuristics misbehave on heterogeneous paths, which is the problem DRL schedulers later attack.",https://doi.org/10.1007/978-3-642-20757-0_21
M03,"Design, Implementation and Evaluation of Congestion Control for Multipath TCP",Régel González Usach; Mirja Kühlewind,2012,USENIX Symposium on Networked Systems Design and Implementation (NSDI),NA,Yes,MPTCP (v1),3G/4G,"Design, implementation and experimental evaluation of MPTCP's coupled congestion control.",Two or more subflows,Heterogeneous access,Sender-side congestion control (kernel),"Per-subflow cwnd, RTT, loss","cwnd, RTT, loss rate",Congestion-window adjustment per subflow (the coupled controller),"Packet-level (congestion control, not scheduling)",NA,Coupled congestion control (LIA / OLIA family),Provide resource pooling while remaining fair to competing single-path TCP flows and balancing congestion across paths,Coupled congestion control algorithm (LIA-style fluid model with a coupled increase/ decrease rule),No,NA,Real Linux implementation evaluated over emulated and real networks,Bulk transfer,"Single-path TCP, uncoupled multipath CC","Throughput, fairness, congestion balance",Shows that coupling is necessary for fairness and that uncoupled multipath flows starve single-path TCP (exact numbers not verified from the free record).,Coupling of congestion control does not solve packet scheduling; the interaction between the two remains a source of suboptimality.,Establishes that congestion control and scheduling must be co-designed - the insight that motivated later joint DRL schedulers.,https://www.usenix.org/conference/nsdi12/technical-sessions/presentation/wischik
M04,Experimental evaluation of multipath TCP schedulers,Christoph Paasch; Simone Ferlin; Ozgu Alay; Olivier Bonaventure,2014,Proceedings of the 2014 ACM SIGCOMM workshop on Capacity sharing workshop,10.1145/2630088.2631977,Yes,MPTCP,4G,Systematic experimental comparison of MPTCP schedulers over heterogeneous paths.,Two,Heterogeneous (e.g. Wi-Fi + cellular with different RTT/bandwidth),Sender-side default and alternative schedulers,"Per-subflow RTT, cwnd, send buffer occupancy","RTT, cwnd, buffer occupancy",Packet-to-subflow assignment,Packet-level,Receive-buffer reassembly with head-of-line blocking measured,Default MPTCP coupled CC,Quantify how much the choice of scheduler matters on heterogeneous paths,Comparison of default (lowest-RTT-first) against alternatives,No,NA,Real testbed with emulated asymmetric path characteristics,Bulk transfer,Default MPTCP scheduler and variants,"Throughput, buffer occupancy at the receiver, reordering","Demonstrates that the default scheduler can create severe receive-buffer blocking on asymmetric paths, motivating smarter schedulers (exact figures not verified from the free record).",Small-scale testbed with two paths; no learning-based comparison (2014).,Canonical evidence that naive multipath scheduling causes head-of-line blocking - the baseline any new scheduler must beat.,https://doi.org/10.1145/2630088.2631977
M05,Low-Latency Scheduling in MPTCP,Per Hurtig; Karl-Johan Grinnemo; Anna Brunstrom; Simone Ferlin; Ozgu Alay; Nicolas Kuhn,2019,IEEE/ACM Transactions on Networking,10.1109/tnet.2018.2884791,Yes,MPTCP,4G/5G,Design and evaluation of low-latency MPTCP schedulers targeting latency-sensitive traffic.,Multiple subflows,Heterogeneous,Sender-side kernel scheduler,Per-subflow RTT and congestion state,"RTT, cwnd, loss",Packet-to-subflow assignment optimising for low delay (a blocking-estimation/earliest-delivery style rule),Packet-level,Explicitly considered: the scheduler is designed to reduce reordering-induced latency,MPTCP coupled congestion control,Minimise end-to-end latency (rather than maximise throughput) for latency-sensitive applications,Latency-optimised scheduling rules derived from an analysis of the delay components of MPTCP,No,NA,Linux MPTCP implementation evaluated in emulated and real networks,Latency-sensitive and bulk traffic,Default MPTCP scheduler (lowest-RTT-first),"End-to-end latency, throughput, reordering",Shows that latency-optimised scheduling reduces completion time for short flows versus the default scheduler (exact figures not verified from the free record).,Rule-based; assumes reasonably accurate RTT estimation; does not learn from network state or coordinate with an orchestrator.,A strong classical latency-oriented baseline that learning-based schedulers must outperform - and a natural candidate for the 'scheduler' slot in a hybrid LLM/DRL controller.,https://doi.org/10.1109/TNET.2018.2884791
M06,Multipath QUIC,Quentin De Coninck; Olivier Bonaventure,2017,Proceedings of the 13th International Conference on emerging Networking EXperiments and Technologies (ACM CoNEXT),10.1145/3143361.3143370,Yes,MPQUIC (Multipath QUIC),4G/5G and fixed,"Extension of QUIC to multipath operation: a single QUIC connection spanning multiple paths, with a pluggable scheduler.",Multiple paths,Heterogeneous,Sender-side QUIC stack (userspace),"Per-path RTT, congestion window, loss","RTT, cwnd, loss, path state",Packet-to-path assignment (scheduling) plus path management,Packet-level,Connection-level packet-number space allows the receiver to reassemble; the paper studies the effect of scheduling on reordering,Coupled congestion control inherited from MPTCP concepts,Demonstrate that multipath can be added to QUIC and evaluate the resulting performance,Multipath QUIC design with a lowest-RTT style scheduler; the paper's contribution is the protocol extension and its evaluation,No,NA,Real implementation (userspace QUIC) evaluated over emulated networks,Bulk transfer and web-like traffic,"Single-path QUIC, MPTCP","Throughput, completion time, handover behaviour","Shows that multipath QUIC aggregates bandwidth and survives path failure, and identifies scheduling/reordering as the key implementation challenge (exact figures not verified from the free record).",Early design; scheduler is a simple heuristic and the interaction with QUIC's loss recovery is delicately handled.,Opens the MPQUIC scheduler design space that later learning-based MPQUIC schedulers (e.g. multi-agent RL and PPO-based approaches) occupy.,https://doi.org/10.1145/3143361.3143370
M07,The QUIC Transport Protocol: Design and Internet-Scale Deployment,Adam Langley; Alistair Riddoch; Alyssa Wilk; Antonio Vicente; Charles Krasic; Dan Zhang; Fan Yang; Fedor Kouranov; Ian Swett; Janardhan Iyengar; Jeff Bailey; Jeremy Dorfman,2017,Proceedings of the Conference of the ACM Special Interest Group on Data Communication (ACM SIGCOMM),10.1145/3098822.3098842,Yes,"QUIC (single-path, foundational for MPQUIC)",4G/5G and fixed,Design and Internet-scale deployment measurement of QUIC.,One (single path); included because MPQUIC scheduling depends on QUIC's connection-level packet numbering,N/A,N/A (endpoint transport stack),N/A,"RTT, loss, bandwidth estimate",N/A (single path),N/A,Connection-level packet numbers make reordering observable and avoid TCP's ambiguity,Cubic and BBR support in QUIC,Report the design and the measured deployment of QUIC at Google scale,Protocol design plus large-scale measurement,No,NA,Large-scale production deployment measurement,Real Internet traffic,TCP+TLS,"Handshake latency, search latency, rebuffer rate, throughput",Reports measurable latency and rebuffering improvements over TCP+TLS at Internet scale (exact figures in the paper; not re-verified here).,Not a multipath paper; its relevance is architectural.,QUIC's connection-level packet number space is the enabler for MPQUIC schedulers that must reason about reordering - context for any AI scheduler targeting MPQUIC.,https://doi.org/10.1145/3098822.3098842
M08,ReLeS: A Neural Adaptive Multipath Scheduler based on Deep Reinforcement Learning,Han Zhang; Wenzhong Li; Shaohua Gao; Xiaoliang Wang; Baoliu Ye,2019,IEEE INFOCOM 2019 - IEEE Conference on Computer Communications,10.1109/infocom.2019.8737649,Yes,MPTCP,4G/5G,ReLeS: a DRL-based MPTCP packet scheduler implemented in the Linux kernel with an asynchronous training pipeline.,NA (abstract does not state),Heterogeneous (per abstract's framing of 'diverse QoS characteristics'),Linux kernel (implementation stated in the abstract); a separate training process runs asynchronously,NA,NA,Packet scheduling policy generated by a learned neural network,Packet-level (implied by the abstract's framing of multipath packet scheduling),NA,NA,A 'comprehensive reward function that takes diverse QoS characteristics into consideration' (individual terms not stated in the abstract),"Deep reinforcement learning producing the scheduling policy, plus an asynchronous training algorithm that decouples packet scheduling, data collection and neural-network training so scheduling can run in real time",Deep RL (exact variant NA),NA,Evaluated 'over both emulated and real network conditions' (Linux kernel implementation),NA,Not named in the abstract; the full text is closed access (Unpaywall: closed with zero OA locations; no arXiv version; no author PDF),NA,"Qualitative only: 'ReLeS significantly outperforms the state-of-the-art schedulers.' No numbers are stated in the abstract, and no open-access full text was located (Unpaywall: closed; no arXiv version).","The abstract exposes no state space, action space, reward terms, baselines or hyperparameters, and the full text is paywalled - so the paper cannot be quantitatively compared or reproduced from open sources. That is itself a reproducibility finding.","ReLeS is the canonical 'DRL scheduler for MPTCP' citation, yet its design is not openly reproducible. A PhD contribution could be a fully open, reproducible DRL/LLM scheduler with published state/action/reward and code.",https://doi.org/10.1109/INFOCOM.2019.8737649
M09,DeepCC: Multi-Agent Deep Reinforcement Learning Congestion Control for Multi-Path TCP Based on Self-Attention,Bo He; Jingyu Wang; Qi Qi; Haifeng Sun; Jianxin Liao; Chunning Du; Xiang Yang; Zhu Han,2021,IEEE Transactions on Network and Service Management,10.1109/tnsm.2021.3093302,Yes,MPTCP v0.93 on Linux 4.9.x,4G/5G (emulated heterogeneous),"DeepCC: multi-agent DRL congestion control and split-ratio control for MPTCP. Agents run in Linux userspace as daemons and write kernel sysctl parameters; kernel exposes cwnd, RTT, loss and split ratios.",Four MPTCP subflows running simultaneously in the evaluation,"Heterogeneous, emulated with Linux tc/ethtool (delay, bandwidth, random loss per subflow)","Sender side, split kernel (data path, sysctl state) / userspace (DRL agents)","Per-subflow self state (goodput x, cwnd c, RTT k, jitter v, w, loss l) plus a self-attention-weighted embedding of the other subflows' states - a 12-dimensional state vector per agent i at epoch t","Average goodput, congestion window, RTT, jitter, loss, split ratio",Continuous control of two quantities per subflow: the change to the traffic split ratio and the multiplicative coefficient for the congestion window,Packet-level (split ratio determines per-packet subflow assignment; cwnd controls sending rate),"Goodput is defined as bytes received correctly and sequentially, so reordering is penalised through the reward rather than handled by a dedicated mechanism","The DRL agents themselves replace/control congestion control (cwnd is set by the action); compared against LIA, OLIA, BALIA, wVegas and DRL baselines DRL-CC and SmartCC",Increase total goodput (bytes received correctly and sequentially per unit time) and reduce congestion; multi-agent general-sum game solved toward Nash equilibrium,"MAPOKTR - Multi-Agent Policy Optimization using Kronecker-Factored Trust Region (ACKTR-derived with K-FAC natural gradient, PPO-style clipped ratio and a point-probability-distance penalty); one agent per subflow; BiLSTM (size 32) encoder over other subflows' states with self-attention",Multi-agent actor-critic DRL (MAPOKTR),"No simulator - real Linux testbed: sender Dell i7-8700, 32 GB RAM, Ubuntu 16.04, MPTCP v0.93 on Linux 4.9.x; path characteristics limited with tc and ethtool; receiver on a separate desktop via a Gigabit switch; packets captured with tcpdump and analysed with scapy; iPerf3 for load and TRex replaying real traces for background traffic",Single-sender emulated heterogeneous testbed (not real radio),"Bulk FTP file transfers of 2 MB and 4 MB, plus iPerf3 and TRex background traffic","DRL-CC, SmartCC, LIA, OLIA, BALIA, wVegas; algorithm comparison against MAACKTR and MADDPG; architecture ablations (FC, FC+PSA, SSA without PSA); reward ablations (fair, efficient, fair-efficient)","Total goodput, average jitter (difference of consecutive RTTs), per-path goodput ratio, CPU and memory usage, convergence time, robustness in unseen environments",Self-attention reduces convergence time by about 50% and increases goodput by about 80% compared with common neural-network structures; the fair-efficient reward outperforms single-objective rewards.,All paths are emulated on one host with tc/ethtool rather than real Wi-Fi/LTE radio; bulk FTP traffic only (no video/web); the scheduler is evaluated per-connection rather than in a sliced/core-network setting; no orchestrator or slice objective is involved.,"DeepCC shows that learning can jointly control congestion control and split ratio, but it is invisible to the network: no slice/SLA objective, no orchestrator interface, no ATSSS/UPF integration. Connecting such a scheduler to an orchestrator that supplies objectives is an open problem.",https://doi.org/10.1109/TNSM.2021.3093302
M10,Leveraging Coupled BBR and Adaptive Packet Scheduling to Boost MPTCP,Jiangping Han; Kaiping Xue; Yitao Xing; Jian Li; Wenjia Wei; David S. L. Wei; Guoliang Xue,2021,IEEE Transactions on Wireless Communications,10.1109/twc.2021.3085661,Yes,MPTCP with BBR,4G/5G,Coupling BBR congestion control with adaptive packet scheduling for MPTCP.,Multiple subflows,Heterogeneous,Sender-side MPTCP stack,"Per-subflow delivery rate and RTT estimates from BBR, plus scheduler state","Delivery rate, RTT, inflight data",Packet-to-subflow assignment coordinated with BBR's rate estimate,Packet-level,Scheduling is adapted to reduce reordering under BBR,BBR (coupled for multipath),Boost MPTCP throughput by adapting the scheduler to BBR's delivery-rate estimates,Adaptive packet scheduling coupled to BBR,No - BBR-derived analytical congestion control plus adaptive scheduling heuristics,NA,Linux MPTCP testbed with emulated heterogeneous paths,Bulk transfer,"Default MPTCP scheduler, other BBR-based MPTCP variants","Throughput, goodput, fairness",Reports throughput gains over baseline MPTCP scheduling when BBR is used (exact figures not re-verified here).,Contains no machine learning; the authors argue against RL on CPU-cost and generalisation grounds. Do not describe this paper as AI-native or learning-based.,"Demonstrates CC-scheduler coupling - evidence that schedulers cannot be designed in isolation from the controller, which strengthens the case for joint learning-based control.",https://doi.org/10.1109/TWC.2021.3062082
