paper_id,title,authors,year,venue,doi,peer_reviewed,network_domain,task,model,model_size,open_or_closed,prompting,rag,tool_calling,function_calling,agent_architecture,number_of_agents,planner,executor,critic,memory,network_tools,network_actions,recommendation_or_execution,closed_loop,benchmark,dataset,metrics,llm_comparisons,network_metrics,hallucination_evaluation,latency,token_cost,baselines,code_available,limitations,research_gap,source_url
L01,NetConfEval: Can LLMs Facilitate Network Configuration?,Changjie Wang; Mariano Scazzariello; Alireza Farshin; Simone Ferlin; Dejan Kostić; Marco Chiesa,2024,Proceedings of the ACM on Networking,10.1145/3656296,Yes,Network configuration,"Benchmarking LLMs on network configuration: synthesising configurations from requirements, translating configurations across vendors, specifying routing algorithms, and configuration repair",Multiple LLMs compared,NA,Both,Task-specific prompting with structured inputs,No,No,NA,Single-model prompting (offline benchmark),NA,NA,NA,NA,NA,NA,Generates configuration text; not deployed to a live network,Recommendation only (offline benchmark),No,NetConfEval (four configuration scenarios),Public HuggingFace dataset (NetConfEval/NetConfEval),Configuration correctness against reference configurations; task accuracy; partial token-cost reporting,Yes - multiple models against each other and against human-written configurations,NA,NA,NA,NA,NA,Yes - https://github.com/RedHatResearch/conext24-NetConfEval,Static text-level benchmark: correctness is judged against reference configurations rather than by deploying them; no network KPI or SLA outcome.,Network-configuration correctness is now benchmarked; the resulting network behaviour is not.,https://doi.org/10.1145/3656296
L02,"Large Language Models for Networking: Applications, Enabling Techniques, and Challenges",Yudong Huang; Hongyang Du; Xinyuan Zhang; Dusit Niyato; Jiawen Kang; Zehui Xiong; Shuo Wang; Tao Huang,2025,IEEE Network,10.1109/mnet.2024.3435752,Yes,Networking (general),"Survey of LLM applications, enabling techniques and challenges in networking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Survey in IEEE Network: breadth over measured depth.,Provides the task taxonomy used in this review and confirms that closed-loop control is under-explored.,https://doi.org/10.1109/mnet.2024.3435752
L03,Mobile-LLaMA: Instruction Fine-Tuning Open-Source LLM for Network Analysis in 5G Networks,Khen Bo Kan; Hyunsu Mun; Guohong Cao; Youngseok Lee,2024,IEEE Network,10.1109/mnet.2024.3421306,Yes,5G network analysis,"Instruction fine-tuning an open-source LLM for 5G network analysis (packet analysis, IP routing, performance analysis code generation)",LLaMA 2 13B,13B,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Own 5G network-analysis instruction set,300-point code-generation rubric,NA,No (no network KPI measured),NA,NA,NA,NA,Yes - https://github.com/DNLab2024/Mobile-LLaMA,A single 300-point code-generation rubric; no network KPI and no closed-loop performance; the task is analysis-code generation rather than online control.,"The canonical demonstration that a fine-tuned open LLM can outperform a general-purpose model on a 5G analysis task - but the task is offline analysis, not action selection under a latency budget.",https://doi.org/10.1109/mnet.2024.3421306
L04,TelecomGPT: A Framework to Build Telecom-Specific Large Language Models,Hang Zou; Qiyang Zhao; Yu Tian; Lina Bariah; Faouzi Bader; Thierry Lestable; Merouane Debbah,2025,IEEE Transactions on Machine Learning in Communications and Networking,10.1109/tmlcn.2025.3593184,Yes,Telecommunications (general),"Building a telecom-specific LLM (three-stage recipe) and evaluating on telecom maths, QA and code tasks",General-purpose instruction-tuned LLM (specific checkpoint not reported),NA,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OpenTelecom (pre-training), TelecomInstruct (instruction), TelecomAlign (DPO)",Task accuracy including 3GPP document classification,NA,"No (telecom text/knowledge tasks, not network management)",NA,NA,NA,NA,NA,Measures telecom knowledge and text tasks rather than network-management quality; no network KPI and no closed loop.,"A well-documented domain-adaptation recipe, but the evaluation never touches a network. The 'does fine-tuning improve network-management performance?' question is left open by this paper.",https://doi.org/10.1109/tmlcn.2025.3593184
L05,NetLLM: Adapting Large Language Models for Networking,Duo Wu; Xianda Wang; Yaqi Qiao; Zhi Wang; Junchen Jiang; Shuguang Cui; Fangxin Wang,2024,Proceedings of the ACM SIGCOMM 2024 Conference,10.1145/3651890.3672268,Yes,"Networking (multimodal: video streaming, wireless scheduling, cuOpt)","Adapting large language models to networking tasks (NetLLM), covering viewport prediction for video streaming and adaptive bitrate, link scheduling in wireless networks, and cluster job scheduling",LLM backbone with task-specific lightweight adapters,NA,Open,Task-specific input encoders feeding the LLM,No,No,NA,Single-model multi-task adaptation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Task-specific performance (prediction accuracy, streaming QoE, scheduling performance)",NA,Task-level QoE/scheduling metrics rather than end-to-end SLA compliance,NA,NA,NA,NA,Yes (public repository per the paper),"Each task needs its own adapter and input encoder, so it is not a general-purpose network agent; no closed-loop network control and no SLA-level evaluation.",NetLLM established the 'adapt an LLM to a networking task' pattern; what is missing is a single model that acts on network state in a closed loop and is scored on service outcomes.,https://doi.org/10.1145/3651890.3672268
L06,Large Language Models for Zero Touch Network Configuration Management,Oscar G. Lira; Oscar M. Caicedo; Nelson L. S. da Fonseca,2025,IEEE Communications Magazine,10.1109/mcom.001.2400368,Yes,Zero-touch network configuration management,Using LLMs for zero-touch network configuration management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magazine article retrieved at metadata level; evaluation depth unverified.,Configuration generation is the most mature LLM-for-networking application; verification and rollback safety remain open.,https://doi.org/10.1109/mcom.001.2400368
L07,LLM-xApp: A Large Language Model Empowered Radio Resource Management xApp for 5G O-RAN,Xingqi Wu; Junaid Farooq; Yuhui Wang; Juntao Chen,2025,Proceedings 2025 Workshop on Security and Privacy of Next-Generation Networks,10.14722/futureg.2025.23057,Yes,O-RAN radio resource management,LLM-empowered radio resource management delivered as an O-RAN xApp,NA,NA,NA,NA,NA,NA,NA,xApp hosting LLM-based decision logic in the near-RT RIC,NA,NA,NA,NA,NA,NA,NA,NA,Yes (xApp control loop),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Short venue paper; whether LLM inference latency can meet near-RT RIC budgets (10 ms to 1 s) is not resolved.,Placing an LLM inside a near-RT xApp raises a hard latency-feasibility question that only small or distilled models can answer.,https://doi.org/10.14722/futureg.2025.23057
L08,LLM-Driven Agentic AI Approach to Enhanced O-RAN Resilience in Next-Generation Networks,Xingqi Wu; Yuhui Wang; Junaid Farooq; Juntao Chen,2025,NA,10.36227/techrxiv.174284755.59863143/v1,Yes,O-RAN resilience and slice resource allocation,"LLM-driven agentic AI for O-RAN resilience, allocating resources across slices with distinct QoS requirements",NA,NA,NA,NA,NA,NA,NA,Agentic AI framework over O-RAN,NA,NA,NA,NA,NA,NA,NA,NA,Intended,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Preprint-level evidence retrieved (TechRxiv); peer-reviewed venue and experimental depth unverified.,O-RAN resilience plus slice resource allocation is precisely the intersection this PhD targets; the evaluation depth must be established before treating it as prior art.,https://doi.org/10.36227/techrxiv.174284755.59863143/v1
L09,Semantic Routing for Enhanced Performance of LLM-Assisted Intent-Based 5G Core Network Management and Orchestration,Dimitrios Michael Manias; Ali Chouman; Abdallah Shami,2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,10.1109/globecom52923.2024.10901065,Yes,5G core management and orchestration (intent-based),Semantic routing to improve LLM-assisted intent-based 5G core management and orchestration,NA,NA,NA,Semantic routing of intents over candidate actions,Partly (semantic routing over a candidate set),NA,NA,LLM intent translator with semantic routing,NA,NA,NA,NA,NA,NA,NA,Intent-to-action translation (no end-to-end execution demonstrated),No,NA,NA,Intent-translation accuracy and efficiency versus unrouted prompting,Yes,NA,NA,NA,NA,NA,NA,Translates intents but does not demonstrate the resulting network behaviour; no SLA measurement.,Semantic routing addresses LLM scalability; verifying that translated intents achieve the intended service outcomes in a running core remains open.,https://doi.org/10.1109/globecom52923.2024.10901065
L10,Towards Intent-Based Network Management: Large Language Models for Intent Extraction in 5G Core Networks,Dimitrios Michael Manias; Ali Chouman; Abdallah Shami,2024,2024 20th International Conference on the Design of Reliable Communication Networks (DRCN),10.1109/drcn60692.2024.10539172,Yes,5G core intent management,LLMs for intent extraction in 5G core networks towards intent-based network management,NA,NA,NA,NA,NA,NA,NA,Single-model intent extraction,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intent extraction only; retrieved at metadata level.,Intent extraction is a prerequisite step; assurance of extracted intents is the open part.,https://doi.org/10.1109/drcn60692.2024.10539172
