paper_id,title,authors,year,venue,doi,peer_reviewed,network_task,base_model,model_size,fine_tuning,finetuning_method,dataset,training_data_size,pruning,pruning_method,quantization,distillation,peft,lora,qlora,training_hardware,training_cost,inference_latency,model_size_after,accuracy,network_performance,baseline,main_results,limitations,research_gap,code_available,source_url
L03,Mobile-LLaMA: Instruction Fine-Tuning Open-Source LLM for Network Analysis in 5G Networks,Khen Bo Kan; Hyunsu Mun; Guohong Cao; Youngseok Lee,2024,IEEE Network,10.1109/mnet.2024.3421306,Yes,NA,NA,13B,Yes,Full instruction fine-tuning (SFT) with self-instruct data expansion,Own 5G network-analysis instruction set,"15,111 instruction sets (packet analysis 20 manual + 2,000 self-instruct; IP routing 100 + 10,000; performance analysis 30 + 3,000)",No,NA,No,No,No,No,No,NA,NA,NA,NA,Network-analysis code-generation score 247/300 versus GPT-3.5 at 209/300,NA,GPT-3.5,NA,A single 300-point code-generation rubric; no network KPI and no closed-loop performance; the task is analysis-code generation rather than online control.,"The canonical demonstration that a fine-tuned open LLM can outperform a general-purpose model on a 5G analysis task - but the task is offline analysis, not action selection under a latency budget.",Yes - https://github.com/DNLab2024/Mobile-LLaMA,https://doi.org/10.1109/mnet.2024.3421306
L04,TelecomGPT: A Framework to Build Telecom-Specific Large Language Models,Hang Zou; Qiyang Zhao; Yu Tian; Lina Bariah; Faouzi Bader; Thierry Lestable; Merouane Debbah,2025,IEEE Transactions on Machine Learning in Communications and Networking,10.1109/tmlcn.2025.3593184,Yes,NA,NA,NA,Yes,"Three stages: continual pre-training (causal LM), instruction tuning (SFT), alignment tuning via DPO","OpenTelecom (pre-training), TelecomInstruct (instruction), TelecomAlign (DPO)","1,679.5M training tokens for the pre-training corpus",No,NA,No,No,No,No,No,NA (the paper cites hardware limits as the reason for its model choice),About 1.5 h of instruct-tuning on one 8-GPU node (per the source retrieved),NA,NA,"Outperforms GPT-4, Llama-3 and Mistral on the Telecom Math Modelling benchmark; comparable on TeleQnA and 3GPP technical-document classification (75.30 versus GPT-4o 38.94 for tdoc classification)",NA,"GPT-4, Llama-3, Mistral",NA,Measures telecom knowledge and text tasks rather than network-management quality; no network KPI and no closed loop.,"A well-documented domain-adaptation recipe, but the evaluation never touches a network. The 'does fine-tuning improve network-management performance?' question is left open by this paper.",NA,https://doi.org/10.1109/tmlcn.2025.3593184
E04,QLoRA: Efficient Finetuning of Quantized LLMs,Tim Dettmers; Artidoro Pagnoni; Ari Holtzman; Luke Zettlemoyer,2023,Advances in Neural Information Processing Systems (NeurIPS),10.52202/075280-0441,Yes,Generic method (no network task) - foundational PEFT technique,Any transformer LLM,N/A (method),Yes,"Quantised low-rank adaptation: 4-bit NormalFloat quantisation, double quantisation, paged optimisers, LoRA adapters",NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Reported in the paper (single-GPU fine-tuning of large models); exact configuration not re-verified here,NA,NA,NA,NA,NA,NA,NA,Generic ML method with no networking evaluation; included because networking papers cite it as their compression recipe.,"QLoRA makes fine-tuning accessible, but its effect on network-decision quality (as opposed to text quality) is unmeasured.",NA,https://doi.org/10.52202/075280-0441
E07,TinyBERT: Distilling BERT for Natural Language Understanding,Xiaoqi Jiao; Yichun Yin; Lifeng Shang; Xin Jiang; Xiao Chen; Linlin Li; Fang Wang; Qun Liu,2020,Findings of the Association for Computational Linguistics: EMNLP 2020,10.18653/v1/2020.findings-emnlp.372,Yes,Generic method (no network task) - distillation,NA,BERT-base teacher to a much smaller student,Yes,Transformer distillation (two-stage: general + task-specific),NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Retains most of BERT-base accuracy at a fraction of the size (exact figures in the paper),NA,NA,NA,Generic NLP method; no networking evaluation.,"Provides the distillation template that network-domain work adapts, but the model-size versus network-decision-quality curve remains unmeasured.",NA,https://doi.org/10.18653/v1/2020.findings-emnlp.119
E15,IoV-BERT-IDS: Hybrid Network Intrusion Detection System in IoV Using Large Language Models,Mengyi Fu; Pan Wang; Minyao Liu; Ze Zhang; Xiaokang Zhou,2025,IEEE Transactions on Vehicular Technology,10.1109/TVT.2024.3402366,Yes,Intrusion detection in the Internet of Vehicles,BERT-based hybrid model,NA,Yes,NA,Vehicular network intrusion datasets,NA,NA,NA,NA,NA,Partly (BERT-based adaptation),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Security classification rather than network management; compression is not the paper's focus.,"Shows BERT-class models remain competitive for network security tasks, but does not address management decisions.",NA,https://doi.org/10.1109/TVT.2024.3402366
E18,Tele-LLMs: A Series of Specialized Large Language Models for Telecommunications,Ali Maatouk; Kenny Chirino Ampudia; Rex Ying; Leandros Tassiulas,2026,IEEE Access,10.1109/ACCESS.2026.3698683,Yes,i_network_llm_finetuning :: Tele-Data (corpus) + Tele-Eval (evaluation),"TinyLlama-1.1B, Phi-1.5B, Gemma-2B, Gemma-2-2B, LLaMA-3.2-1B, LLaMA-3.2-3B, LLaMA-3-8B",1B-8B,Yes,"Continual pre-training with FULL fine-tuning. PEFT/LoRA tested and REJECTED: LoRA r=64, alpha=32, dropout=0.1 - 'for smaller models LoRA can initially inject telecom knowledge but quickly saturates due to its limited capacity'; on LLaMA-3-8B 'the gradient norm of the LoRA method remained extremely low'. Full FT settings: AdamW, weight decay 0.1, max grad norm 1, cosine schedule to 10% of max LR, 10%-of-epoch linear warmup, batch 4M tokens, seq len 8192, max LR 1e-5 (LLaMA) / 2e-5 (Gemma), mixed precision + sample packing + block attention, 2 epochs, 5% SlimPajama mixed in. Instruction-tuning stage: Q-LoRA, 8-bit init, rank 8, on Q/K/V/O, batch 8, grad-accum 2, LR 2e-4, AdamW, lora_alpha 32, dropout 0.05.",Tele-Data (corpus) + Tele-Eval (evaluation),Tele-Data: arXiv 90k papers/4GB/1.08B tokens; 3GPP standards 2.8k docs/334MB/86.45M tokens; Wikipedia 19.5k articles/123MB/26.44M tokens; Web 740k links/6.8GB/1.55B tokens. Tele-Eval: 750k open-ended Q&A pairs (1% retention after filtering).,No,No,No,No,Yes,Yes,No,8 x NVIDIA A6000,~5000 GPU hours total for the released series,Evaluation-side: Mixtral-8x-7B LLM-judge took ~50 ms per question on a single NVIDIA A6000,not applicable (no compression performed),Average relative improvement of 25% on Tele-Eval (LLM-Eval metric). LLM-Eval: Gemma-2B 13.59 -> Gemma-2B-Tele 17.07; Phi-1.5 14.87 -> Phi-1.5-Tele 13.06 (degraded) -> Phi-1.5-Tele-Alpaca 18.84; Gemma-2B-Tele-Alpaca 25.31; Gemma-2B-it 19.84 -> 24.83. Gemma-2B-Standards UNDERPERFORMED base on overall Tele-Eval (11.18 vs 13.59). LLaMA-3-8B-Tele +10% on GSM-8K.,Average relative improvement of 25% on Tele-Eval (LLM-Eval metric). LLM-Eval: Gemma-2B 13.59 -> Gemma-2B-Tele 17.07; Phi-1.5 14.87 -> Phi-1.5-Tele 13.06 (degraded) -> Phi-1.5-Tele-Alpaca 18.84; Gemma-2B-Tele-Alpaca 25.31; Gemma-2B-it 19.84 -> 24.83. Gemma-2B-Standards UNDERPERFORMED base on overall Tele-Eval (11.18 vs 13.59). LLaMA-3-8B-Tele +10% on GSM-8K.,"Original un-adapted models (Gemma-2B, Phi-1.5, LLaMA-3-8B, TinyLlama); Gemma-2B-it; GPT-4o; MMLU; HellaSWAG; GSM8K",Average relative improvement of 25% on Tele-Eval (LLM-Eval metric). LLM-Eval: Gemma-2B 13.59 -> Gemma-2B-Tele 17.07; Phi-1.5 14.87 -> Phi-1.5-Tele 13.06 (degraded) -> Phi-1.5-Tele-Alpaca 18.84; Gemma-2B-Tele-Alpaca 25.31; Gemma-2B-it 19.84 -> 24.83. Gemma-2B-Standards UNDERPERFORMED base on overall Tele-Eval (11.18 vs 13.59). LLaMA-3-8B-Tele +10% on GSM-8K.,"Task is telecom knowledge/literature (Q&A, citation prediction and recommendation), NOT network management decisions or network KPIs. No compression experiments. Full FT costs 8xA6000 and 5000 GPU hours.",NA,Yes - https://github.com/Ali-maatouk/Tele-LLMs,https://ar5iv.labs.arxiv.org/html/2409.05314
O41,ORION: Intent-Aware Orchestration in Open RAN for SLA-Driven Network Management,NA,2026,arXiv preprint (cs.NI),NA,No,"i_network_llm_finetuning :: 101 natural-language intents: eMBB 20 samples, URLLC 20 samples, mMTC 60 samples (mMTC oversampled for IoT heterogeneity)","GPT-5, Gemini 3 Pro, Claude Opus 4.5, GPT-5 Nano, Gemini 3 Flash, Claude Sonnet 4.5 (proprietary; no open-weight, no small, no fine-tuned models)",NA,NA,Hierarchical agent architecture over the Model Context Protocol (MCP): MCP-based SMO layer for semantic translation + Non-RT RIC rApp + Near-RT RIC xApp for closed-loop enforcement. No weight modification.,"101 natural-language intents: eMBB 20 samples, URLLC 20 samples, mMTC 60 samples (mMTC oversampled for IoT heterogeneity)",101 intents,No,No,No,No,No,No,No,"No training. Deployment: Open5GS (Release 16) on Kubernetes, 3 worker nodes x 8 vCPU / 32 GB RAM each",NA,Reports latency and resource overhead of the MCP orchestration; exact values not extracted,NA,"100% policy-generation success rate for high-capacity models. 3GPP slice-type classification accuracy across 101 intents: Claude Opus 4.5 99%, GPT-5 96%, GPT-5 Nano 90%, Gemini 3 Pro 77%, Gemini 3 Flash 66%, Claude Sonnet 4.5 13%. KEY CLAIM: 'the primary bottleneck for intent-to-policy fidelity lies in the MCP tool orchestration layer rather than in the model's semantic understanding' - among models with >=97% prediction rate, accuracy spans 90-99%.","100% policy-generation success rate for high-capacity models. 3GPP slice-type classification accuracy across 101 intents: Claude Opus 4.5 99%, GPT-5 96%, GPT-5 Nano 90%, Gemini 3 Pro 77%, Gemini 3 Flash 66%, Claude Sonnet 4.5 13%. KEY CLAIM: 'the primary bottleneck for intent-to-policy fidelity lies in the MCP tool orchestration layer rather than in the model's semantic understanding' - among models with >=97% prediction rate, accuracy spans 90-99%.",Six frontier LLMs compared against each other,"100% policy-generation success rate for high-capacity models. 3GPP slice-type classification accuracy across 101 intents: Claude Opus 4.5 99%, GPT-5 96%, GPT-5 Nano 90%, Gemini 3 Pro 77%, Gemini 3 Flash 66%, Claude Sonnet 4.5 13%. KEY CLAIM: 'the primary bottleneck for intent-to-policy fidelity lies in the MCP tool orchestration layer rather than in the model's semantic understanding' - among models with >=97% prediction rate, accuracy spans 90-99%.","No open-weight, no small, and no fine-tuned models - says nothing about the compression/size question. The headline 100% figure is a tool-invocation success rate, not an end-to-end autonomy result. Preprint.","The closest published attempt to place an LLM agent inside a standard O-RAN management hierarchy. What is missing is exactly what a PhD could add: measuring whether the enforced policies actually deliver SLA-level outcomes, and comparing against classical/DRL optimisation on the same intents.",Yes - https://github.com/zanattabruno/analysis-orion,https://arxiv.org/abs/2603.03667
L53,TSpec-LLM: An Open-source Dataset for LLM Understanding of 3GPP Specifications,NA,2024,IEEE Globecom Workshops,10.1109/GCWkshp64532.2024.11101012,Yes,i_network_llm_finetuning :: TSpec-LLM,"Not trained by the authors. Evaluates GPT-3.5, GPT-4, Gemini 1.0 Pro with naive-RAG.",NA,Yes,Dataset + naive-RAG benchmark. NO fine-tuning and NO compression.,TSpec-LLM,"30137 documents, 13.5 GB, 535 million words; all 3GPP documents Release 8 -> Release 19 (1999-2023), tables/formulas retained, released as Markdown",No,No,No,No,No,No,No,NA,NA,NA,NA,"Naive-RAG over TSpec-LLM: GPT-3.5 44% -> 71%; Gemini 1.0 Pro 46% -> 75%; GPT-4 51% -> 72%. Without RAG: GPT-4 51%, Gemini 46%, GPT-3.5 44%.","Naive-RAG over TSpec-LLM: GPT-3.5 44% -> 71%; Gemini 1.0 Pro 46% -> 75%; GPT-4 51% -> 72%. Without RAG: GPT-4 51%, Gemini 46%, GPT-3.5 44%.","GPT-3.5, GPT-4, Gemini 1.0 Pro, each with and without RAG","Naive-RAG over TSpec-LLM: GPT-3.5 44% -> 71%; Gemini 1.0 Pro 46% -> 75%; GPT-4 51% -> 72%. Without RAG: GPT-4 51%, Gemini 46%, GPT-3.5 44%.","RAG retrieval, not model adaptation - improves accuracy without changing model size, making it a direct ALTERNATIVE to compression for edge deployment. Used as the retrieval corpus by the NetSoft 2025 paper (#10).",Shows RAG over 3GPP is workable and materially improves accuracy - the enabling component for a standards-grounded management agent.,"Yes - Open-source dataset, questionnaire and prompts released (download3gpp 0.7.0 tooling); specific URLs not verified",https://ar5iv.labs.arxiv.org/html/2406.01768
L54,Telco-RAG: Navigating the Challenges of Retrieval Augmented Generation for Telecommunications,NA,2024,IEEE Global Communications Conference (GLOBECOM),10.1109/GLOBECOM52923.2024.10901158,Yes,i_network_llm_finetuning :: 3GPP technical documents,"not applicable - RAG pipeline, not a trained model",NA,Yes,"RAG pipeline: dual-stage query enhancement + retrieval, a neural-network router that reduces RAM usage, and hyperparameter optimisation (chunk size, context length, embedding model) over 3GPP documents. NO fine-tuning.",3GPP technical documents,NA,No,No,No,No,No,No,No,NA,NA,NA,not applicable (but the neural router reduces RAM usage),NA,NA,NA,NA,"No fine-tuning and no compression. The RAM-reducing neural router is adjacent evidence for deployment efficiency. WARNING: there is a DISTINCT paper called TelecomRAG (Yilma et al., ACM SIGCOMM CCR 54(3):18-23, 2024, DOI 10.1145/3711992.3711996) - do not conflate.",Telecom-specific RAG is being solved; the unsolved part is grounding *actions* (not answers) in standards and verifying them against network state.,Yes - https://github.com/netop-team/Telco-RAG,https://arxiv.org/abs/2404.15939
L58,NetIntent: Leveraging Large Language Models for End-to-End Intent-Based Networking,NA,2025,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2025.3642642,Yes,"i_network_llm_finetuning :: IBNBench (new): Intent2Flow-ODL, Intent2Flow-ONOS, FlowConflict-ODL, FlowConflict-ONOS. Plus existing: Formal Specification, NFV Configuration.","33 open-source LLMs spanning 1.1B-70B, including TinyLlama:1.1b, Deepseek-coder:1.3b, Phi:2.7b, Starcoder:3b, Llama3.2:3b, Phi3:3.8b, Orca-mini:3b, Qwen:4b, Yi:6b, Codellama:7b, Llama2:7b, Llama3:8b, Llama3.1:8b, Qwen2.5:7b, Mistral:7b, Dolphin-Mistral:7b, Wizardlm2:7b, Codegemma:7b, Zephyr:7b, Qwen2:7b, Mistral-nemo:12b, Codestral:22b, Deepseek-coder-v2:16b, QwQ:32b, Gemma2-27b, Codellama:34b, Command-r:35b, Llama2:70b, Llama3.3:70b, Codellama:70b",1.1B to 70B,Yes,NO FINE-TUNING - in-context/few-shot learning with dynamic context-example selection (Max Marginal Relevance); temperature 0.6 / top-p 0.3 (translation) and 0.3 / 0.5 (conflict detection); served via Ollama,"IBNBench (new): Intent2Flow-ODL, Intent2Flow-ONOS, FlowConflict-ODL, FlowConflict-ONOS. Plus existing: Formal Specification, NFV Configuration.",Intent2Flow-ODL 52 pairs; Intent2Flow-ONOS 50 pairs; FlowConflict-ODL 60 pairs (19 conflicting); FlowConflict-ONOS 74 pairs (27 conflicting); Formal Specification 1500 pairs; NFV Configuration 120 pairs. 50/50 context/test split.,No,No,No,No,No,No,No,"No training. Inference: AMD Ryzen Threadripper PRO 5995WX (64-core), 500 GB RAM, 1 x NVIDIA RTX A6000 (48 GB VRAM)",NA,"Runtime reported per model. Example: Codellama-34b required over 10 seconds per inference, whereas Qwen2.5-7B achieved competitive performance in under 2 seconds. 70B models could not be evaluated at larger context sizes due to hardware memory constraints.",NA,"Formal Specification dataset: QwQ-fusion and Command-r (32-35B) >=99%; Codellama:7b and Mistral:7b up to 95% with lower latency; mid-sized models gained up to 20% accuracy from 0 to 9 context examples (Dolphin-Mistral:7b 0% -> 80%); TinyLlama:1.1b and Deepseek-coder:1.3b significantly lower accuracy. Intent2Flow-ONOS: Llama3.3:70b 88% zero-shot, surpassing Llama2:70b and Codellama:70b; Codestral:22b outperformed Command-r:35b. Conflict detection (FlowConflict-ONOS): QwQ:32b perfect (F1 1.0); Llama3.3:70b 94% accuracy, FPR 0.02, F1 0.78; Llama2:70b perfect recall but 52 false positives. Codellama:7b, Codegemma-7b, Dolphin-Mistral-7b, Deepseek-coder-1.3b exceeded 87% FPR. KEY CLAIM: 'larger model size does not inherently guarantee superior performance'.","Formal Specification dataset: QwQ-fusion and Command-r (32-35B) >=99%; Codellama:7b and Mistral:7b up to 95% with lower latency; mid-sized models gained up to 20% accuracy from 0 to 9 context examples (Dolphin-Mistral:7b 0% -> 80%); TinyLlama:1.1b and Deepseek-coder:1.3b significantly lower accuracy. Intent2Flow-ONOS: Llama3.3:70b 88% zero-shot, surpassing Llama2:70b and Codellama:70b; Codestral:22b outperformed Command-r:35b. Conflict detection (FlowConflict-ONOS): QwQ:32b perfect (F1 1.0); Llama3.3:70b 94% accuracy, FPR 0.02, F1 0.78; Llama2:70b perfect recall but 52 false positives. Codellama:7b, Codegemma-7b, Dolphin-Mistral-7b, Deepseek-coder-1.3b exceeded 87% FPR. KEY CLAIM: 'larger model size does not inherently guarantee superior performance'.","All 33 LLMs serve as mutual baselines; prior IBN work (NetConfEval, NFV-configuration)","Formal Specification dataset: QwQ-fusion and Command-r (32-35B) >=99%; Codellama:7b and Mistral:7b up to 95% with lower latency; mid-sized models gained up to 20% accuracy from 0 to 9 context examples (Dolphin-Mistral:7b 0% -> 80%); TinyLlama:1.1b and Deepseek-coder:1.3b significantly lower accuracy. Intent2Flow-ONOS: Llama3.3:70b 88% zero-shot, surpassing Llama2:70b and Codellama:70b; Codestral:22b outperformed Command-r:35b. Conflict detection (FlowConflict-ONOS): QwQ:32b perfect (F1 1.0); Llama3.3:70b 94% accuracy, FPR 0.02, F1 0.78; Llama2:70b perfect recall but 52 false positives. Codellama:7b, Codegemma-7b, Dolphin-Mistral-7b, Deepseek-coder-1.3b exceeded 87% FPR. KEY CLAIM: 'larger model size does not inherently guarantee superior performance'.","No fine-tuning, so it does not test whether a small fine-tuned model could replace a large prompted one. Results are highly prompt- and schema-sensitive, which the authors acknowledge.","A 33-model study is exactly the kind of evidence needed for model selection in network agents - and it shows larger is not reliably better, which motivates small/distilled network models.",Yes - Yes - datasets and benchmarking results released (GitHub link referenced as [48]); NetIntent framework implementation released,https://ar5iv.labs.arxiv.org/html/2507.14398
