paper_id,title,authors,year,venue,doi,peer_reviewed,category,subcategory,relevance_to_my_phd,research_problem,method,network_layer,ai_method,optimization_method,evaluation_quality,reproducibility_quality,potential_followup,source_url
F01,Cellular Network Traffic Scheduling With Deep Reinforcement Learning,Sandeep Chinchali; Pan Hu; Tianshu Chu; Manu Sharma; Manu Bansal; Rakesh Misra; Marco Pavone; Sachin Katti,2018,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v32i1.11339,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,"Scheduling delay-tolerant software updates and data backups of IoT devices in cellular networks without violating strict service guarantees of real-time applications (voice, video).","Deep reinforcement learning with a policy-gradient / actor-critic style parameterisation of the scheduling policy, trained to approximate the solution of a per-slot optimisation derived from Lyapunov drift-plus-penalty.",RAN (cellular),DRL,Lyapunov stochastic optimisation combined with DRL function approximation,STRONG,MODERATE,NA,https://doi.org/10.1609/aaai.v32i1.11339
F02,Intelligent Resource Scheduling for 5G Radio Access Network Slicing,Mu Yan; Gang Feng; Jianhong Zhou; Yao Sun; Ying-Chang Liang,2019,IEEE Transactions on Vehicular Technology,10.1109/tvt.2019.2922668,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,Intelligent radio resource scheduling across 5G RAN slices so that each tenant/slice receives its contracted share while overall spectral efficiency is preserved.,Deep reinforcement learning scheduler operating at the MAC layer over the slicing substrate.,RAN (radio access network slicing),DRL,"DRL (value/policy based, exact variant not verified)",WEAK,MODERATE,NA,https://doi.org/10.1109/TVT.2019.2922668
F03,Deep Reinforcement Learning for Dynamic Uplink/Downlink Resource Allocation in High Mobility 5G HetNet,Fengxiao Tang; Yibo Zhou; Nei Kato,2020,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2020.3005495,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,"Dynamic joint uplink and downlink resource allocation in high-mobility 5G heterogeneous networks, where user association and channel conditions change rapidly.",Deep reinforcement learning (centralised DRL agent) for joint UL/DL allocation.,"RAN (HetNet, high mobility)",Agent; DRL,DRL,WEAK,WEAK,NA,https://doi.org/10.1109/JSAC.2020.3005495
F04,Reinforcement Learning-Based Particle Swarm Optimization for End-to-End Traffic Scheduling in TSN-5G Networks,Xiaolong Wang; Haipeng Yao; Tianle Mai; Song Guo; Yunjie Liu,2023,IEEE/ACM Transactions on Networking,10.1109/tnet.2023.3276363,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,"End-to-end traffic scheduling for time-sensitive networking over a 5G bridge, i.e. computing gate-control schedules that satisfy per-flow deadlines across TSN and 5G segments.",Reinforcement-learning-enhanced particle swarm optimisation (RL-guided PSO) for the scheduling search.,Transport / TSN integrated with 5G,DRL,Metaheuristic (PSO) hybridised with RL; exact MILP formulation used as reference,WEAK,WEAK,NA,https://doi.org/10.1109/TNET.2023.3276363
F05,DecAge: Decentralized Flow Scheduling for Industrial 5G and TSN Integrated Networks,Mingyan Li; Songtao Guo; Chao Chen; Cailian Chen; Xiaofeng Liao; Xinping Guan,2024,IEEE Transactions on Network Science and Engineering,10.1109/tnse.2023.3301879,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,LOW,Scalable flow scheduling across a joint 5G-TSN industrial network where centralised scheduling does not scale and cross-domain coordination is required.,Decentralised scheduling algorithm with inter-domain coordination (age-aware / deadline-aware mechanism).,Industrial 5G + TSN (transport),NA,Distributed heuristic/optimisation,WEAK,WEAK,NA,https://doi.org/10.1109/TNSE.2023.3301879
F06,Learn to Schedule (LEASCH): A Deep Reinforcement Learning Approach for Radio Resource Scheduling in the 5G MAC Layer,Faroq Al-Tam; Noelia Correia; Jonathan Rodriguez,2020,IEEE Access,10.1109/access.2020.3000893,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,Radio resource scheduling in the 5G MAC layer: allocating resource blocks to users with heterogeneous QoS requirements.,Deep reinforcement learning (DQN-family) scheduler trained against the 5G MAC environment.,RAN (MAC layer),DRL,DRL,STRONG,MODERATE,NA,https://doi.org/10.1109/ACCESS.2020.3000893
F07,5G RAN Slicing for Verticals: Enablers and Challenges,Salah Eddine Elayoubi; Sana Ben Jemaa; Zwi Altman; Ana Galindo-Serrano,2019,IEEE Communications Magazine,10.1109/mcom.2018.1701319,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,MEDIUM,"Identifies enablers and challenges for RAN slicing for verticals, including scheduling and isolation requirements.",N/A - magazine article (not a primary experimental paper),RAN (slicing),NA,NA,WEAK,WEAK,"Defines vertical requirements (isolation, scheduling, SLA) that AI-native orchestration must satisfy.",https://doi.org/10.1109/MCOM.2018.1701319
F12,Multi-Agent Deep Reinforcement Learning-Based Task Scheduling and Resource Sharing for O-RAN-Empowered Multi-UAV-Assisted Wireless Sensor Networks,Mesfin Leranso Betalo; Supeng Leng; Hayla Nahom Abishu; Fayaz Ali Dharejo; Abegaz Mohammed Seid; Aiman Erbad; Rizwan Ali Naqvi; Longyu Zhou; Mohsen Guizani,2024,IEEE Transactions on Vehicular Technology,10.1109/tvt.2023.3330661,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,Joint task scheduling and resource sharing among UAVs in an O-RAN-empowered network.,Multi-agent deep reinforcement learning (MADRL).,O-RAN + multi-UAV wireless,Agent; Multi_Agent; DRL,MADRL,WEAK,WEAK,NA,https://doi.org/10.1109/TVT.2023.3317995
F13,Traffic engineering based on deep reinforcement learning in hybrid IP/SR network,Bo Chen; Penghao Sun; Peng Zhang; Julong Lan; Youjun Bu; Juan Shen,2021,China Communications,10.23919/jcc.2021.10.015,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,Traffic engineering in hybrid IP/segment-routing networks: choosing routing/segment-list configurations to balance load.,Deep reinforcement learning (DQN-family) traffic engineering.,Transport (IP/SR),DRL,DRL,WEAK,WEAK,NA,https://doi.org/10.23919/JCC.2021.09.014
F16,Experience-driven Networking: A Deep Reinforcement Learning based Approach,Zhiyuan Xu; Jian Tang; Jingsong Meng; Weiyi Zhang; Yanzhi Wang; Chi Harold Liu; Dejun Yang,2018,IEEE INFOCOM,10.1109/INFOCOM.2018.8485853,Yes,Flow/packet/traffic scheduling,Flow/packet/traffic scheduling,HIGH,Experience-driven networking: learning routing/scheduling policies directly from network experience instead of hand-tuned heuristics.,Deep reinforcement learning (actor-critic) for TE.,Transport (SDN),Agent; DRL,DRL,MODERATE,WEAK,NA,https://doi.org/10.1109/INFOCOM.2018.8485853
